ddate,open,high,low,close,volume
20200624,51900,53900,51600,52900,24519552
20200625,52100,53000,51900,51900,18541624
20200626,52800,53900,52200,53300,21575360
20200629,52500,53200,52000,52400,17776925
20200630,53900,53900,52800,52800,21157172
20200701,53400,53600,52400,52600,16706143
20200702,52100,52900,52100,52900,14142583
20200703,53000,53600,52700,53600,11887868
20200706,54000,55000,53800,55000,19856623
20200707,55800,55900,53400,53400,30760032
20200708,53600,53900,52900,53000,19664652
20200709,53200,53600,52800,52800,17054850
20200710,53100,53200,52300,52700,13714746
20200713,53300,53800,53100,53400,12240188
20200714,53700,53800,53200,53800,14269484
20200715,54400,55000,54300,54700,24051450
20200716,54800,54800,53800,53800,16779127
20200717,54200,54700,54100,54400,10096174
20200720,54800,54800,54000,54200,10507530
20200721,55200,55400,54800,55300,18297260
20200722,55300,55500,54700,54700,12885057
20200723,54700,54700,53800,54100,16214932
20200724,54000,54400,53700,54200,10994535
20200727,54300,55700,54300,55600,21054421
20200728,57000,58800,56400,58600,48431566
20200729,60300,60400,58600,59000,36476611
20200730,59700,60100,59000,59000,19285354
20200731,59500,59600,57700,57900,21943345
20200803,57800,57900,56700,56800,21158940
20200804,57200,58100,57000,57300,19419694
20200805,57300,57500,56300,56900,17739706
20200806,57100,58400,57100,58000,21625874
20200807,57900,58400,57100,57500,18751717
20200810,57600,58300,57500,57800,17774291
20200811,58000,59500,57800,58200,24907912
20200812,58200,59000,57700,59000,18573934
20200813,59400,59600,58000,58700,22089460
20200814,58000,58400,57700,58000,15672548
20200818,58900,59900,58000,58400,25307825
20200819,59000,59200,57800,57800,16930719
20200820,57600,57600,55300,55400,30386029
20200821,56200,56900,55800,55900,21142288
20200824,55800,56600,55400,56100,15055896
20200825,56400,56800,56100,56400,14021705
20200826,56400,56500,55700,56400,17651593
20200827,56300,56300,55600,55600,16196568
20200828,56100,56300,55400,55400,14619888
20200831,56000,56100,54000,54000,32671367
20200901,54100,54800,54100,54200,19363117
20200902,54600,55100,54100,54400,16905723
20200903,55600,56700,55500,56400,28384920
20200904,55200,55800,55100,55600,22139109
20200907,56100,57300,55800,56500,18685880
20200908,57400,58700,57200,58700,31517520
20200909,58200,59300,57800,58400,30597399
20200910,59900,60000,59100,59200,29923293
20200911,59300,59400,58200,59000,16017098
20200914,60200,60800,59900,60400,20648281
20200915,60900,61000,60500,61000,17877075
20200916,61100,61300,60600,61000,17041444
20200917,60700,60800,59300,59500,25108356
20200918,59800,59900,59100,59300,18884571
20200921,59100,60000,59000,59200,15140387
20200922,59100,59700,57800,58200,20830381
20200923,58400,58800,57400,58600,20111398
20200924,57700,58600,57600,57800,17564020
20200925,57700,58200,57700,57900,11444683
20200928,58300,58800,57900,58200,12614080
20200929,58300,59000,58200,58200,15503563
20201005,57500,59200,57500,58700,20228289
20201006,59400,59900,58700,59000,14463826
20201007,58700,59900,58500,59900,14861838
20201008,60500,60700,59500,59700,24589924
20201012,60000,60400,59900,60400,16145837
20201013,61000,61400,60400,60900,19247631
20201014,61000,61100,60500,60900,16086716
20201015,60700,60800,59700,60000,17756232
20201016,60000,60400,59000,59500,16554190
20201019,59600,60200,59500,60000,14474985
20201020,60300,60900,60100,60900,19326115
20201021,61200,61500,60600,60900,15703443
20201022,60300,60500,59800,60100,14294095
20201023,60400,60400,59800,60200,9322232
20201026,60400,61100,60100,60400,13268226
20201027,60300,60300,59500,59800,17260416
20201028,59400,59400,58800,59000,14428882
20201029,58200,58500,57500,58100,22636966
20201030,58000,58000,56600,56600,26907844
20201102,56400,57500,56000,57400,20489076
20201103,57900,58900,57600,58800,14950919
20201104,58900,59000,57800,58500,21718561
20201105,59000,60300,58800,60300,20639475
20201106,60700,60800,59600,60100,16910230
20201109,60700,60900,60100,60200,15892961
20201110,60500,60500,59500,60200,19073552
20201111,60700,61400,60400,61300,25628510
20201112,61000,61400,60700,61000,19800573
20201113,61300,63200,61000,63200,31508829
20201116,64000,66700,63900,66300,36354334
20201117,67000,67000,65600,65700,30204089
20201118,65700,66200,64700,64800,22963790
20201119,64100,64800,63900,64600,16590290
20201120,63900,65200,63900,64700,15068682
20201123,64800,67800,64700,67500,27134398
20201124,67900,69500,67000,67700,32158235
20201125,67900,68300,66500,66600,32447065
20201126,66100,68000,66000,68000,19023323
20201127,68000,68400,67600,68200,14063434
20201130,68400,68600,66700,66700,43811016
20201201,67100,68300,67100,67800,22327173
20201202,68400,69900,68300,69500,29703942
20201203,70100,70500,69300,69700,23677989
20201204,70400,72100,70100,71500,28130533
20201207,72400,73500,71900,72900,28490496
20201208,72200,72900,71600,71700,25000338
20201209,72100,73900,72000,73900,24077996
20201210,72700,73800,72500,72900,39882928
20201211,73500,73800,73100,73400,18486672
20201214,73600,74500,73200,73800,21510415
20201215,73800,74100,73300,73800,20863671
20201216,74100,74500,73400,73800,17512081
20201217,73400,73700,72600,73300,24293214
20201218,73300,73700,73000,73000,17613029
20201221,73100,73400,72000,73000,20367355
20201222,72500,73200,72100,72300,16304910
20201223,72400,74000,72300,73900,19411326
20201224,74100,78800,74000,77800,32502870
20201228,79000,80100,78200,78700,40085044
20201229,78800,78900,77300,78300,30339449
20201230,77400,81300,77300,81000,29417421
20210104,81000,84400,80200,83000,38655276
20210105,81600,83900,81600,83900,35335669
20210106,83300,84500,82100,82200,42089013
20210107,82800,84200,82700,82900,32644642
20210108,83300,90000,83000,88800,59013307
20210111,90000,96800,89500,91000,90306177
20210112,90300,91400,87800,90600,48682416
20210113,89800,91200,89100,89700,36068848
20210114,88700,90000,88700,89700,26393970
20210115,89800,91800,88000,88000,33431809
20210118,86600,87300,84100,85000,43227951
20210119,84500,88000,83600,87000,39895044
20210120,89000,89000,86500,87200,25211127
20210121,87500,88600,86500,88100,25318011
20210122,89000,89700,86800,86800,30861661
20210125,87000,89900,86300,89400,27258534
20210126,88800,89200,86500,86700,33178936
20210127,86600,87700,85600,85600,26423070
20210128,83200,85600,83200,83700,31859808
20210129,84500,85000,82000,82000,39615978
20210201,81700,83400,81000,83000,28046832
20210202,84100,86400,83700,84400,26302077
20210203,84800,85400,83400,84600,22112205
20210204,83500,83800,82100,82500,24171688
20210205,83100,84000,82500,83500,18036835
20210208,83800,84200,83000,83000,15338765
20210209,84000,84800,82700,82700,20898332
20210210,82600,82600,81600,81600,23025766
20210215,83800,84500,83300,84200,23529706
20210216,84500,86000,84200,84900,20483100
20210217,83900,84200,83000,83200,18307735
20210218,83200,83600,82100,82100,21327683
20210219,82300,82800,81000,82600,25880879
20210222,83800,84200,82200,82200,25419886
20210223,81200,82900,81100,82000,20587314
20210224,81800,83600,81300,82000,26807651
20210225,84000,85400,83000,85300,34155986
20210226,82800,83400,82000,82500,38520800
20210302,85100,85300,83000,83600,33498180
20210303,83500,84000,82800,84000,19882132
20210304,82600,83200,82200,82400,24348331
20210305,81100,82600,81100,82100,20508971
20210308,82900,83000,81600,82000,17641256
20210309,81400,81900,80600,81400,25420764
20210310,82400,82500,80700,80900,20038422
20210311,81000,82500,81000,82000,23818297
20210312,83100,83500,82400,82800,13530573
20210315,82800,82900,81800,81800,13735798
20210316,82200,83000,82100,82800,12293537
20210317,82800,82900,82000,82300,11625146
20210318,82800,83800,82600,82900,18585244
20210319,82100,82500,81800,81900,15869700
20210322,82000,82300,81700,82000,12670506
20210323,82600,82900,81800,81800,13299907
20210324,81000,81600,80700,81000,17926638
20210325,81000,82100,80800,81200,14758826
20210326,81400,81600,81000,81500,12845778
20210329,81700,81700,81000,81600,14952134
20210330,81600,82300,81300,82200,13121698
20210331,82400,82700,81400,81400,17240518
20210401,82500,83000,82000,82900,18676461
20210402,84000,85200,83900,84800,22997538
20210405,85800,86000,84800,85400,16255990
20210406,86200,86200,85100,86000,19042023
20210407,86100,86200,85400,85600,17885538
20210408,85700,85700,84100,84700,19244259
20210409,84700,84900,83400,83600,18193707
20210412,84100,84100,83100,83200,12915282
20210413,83000,84500,82800,84000,15238206
20210414,84000,84300,83400,84000,13794652
20210415,83700,84500,83400,84100,16377412
20210416,84700,84700,83600,83900,15429522
20210419,83800,84000,83300,83300,15287311
20210420,83300,84000,83100,83900,15521965
20210421,83300,83500,82500,82600,21636079
20210422,82900,83000,82400,82400,13934746
20210423,81900,82900,81600,82800,17805080
20210426,82900,83500,82600,83500,15489938
20210427,83200,83300,82500,82900,12941533
20210428,83200,83200,82100,82100,15596759
20210429,82400,82500,81500,81700,20000973
20210430,81900,82100,81500,81500,18673197
20210503,81000,82400,81000,81700,15710336
20210504,81900,82600,81800,82600,12532550
20210506,81700,82300,81700,82300,17047511
20210507,81800,82100,81500,81900,14154882
20210510,82300,83500,81800,83200,19385027
20210511,82500,82600,81100,81200,28996680
20210512,80800,81200,79800,80000,35812268
20210513,78900,79600,78400,78500,31490096
20210514,79000,80300,78900,80100,16450920
20210517,80800,80900,79200,79600,17740855
20210518,79600,80000,79100,79600,17494407
20210520,79400,79700,79100,79500,16541828
20210521,80100,81500,79800,80100,20961714
20210524,80100,80400,79500,79700,13398666
20210525,80000,80400,79800,79900,13628942
20210526,80400,80500,79700,79800,11984359
20210527,80000,80000,79100,79600,23198510
20210528,79800,80400,79400,80100,12360199
20210531,80300,80600,79600,80500,13321324
20210601,80500,81300,80100,80600,14058401
20210602,80400,81400,80300,80800,16414644
20210603,81300,83000,81100,82800,29546007
20210604,82700,82700,81500,82200,18112259
20210607,82700,82800,81600,81900,16496197
20210608,82300,82600,81800,81900,12781226
20210609,81500,82000,81100,81100,14908823
20210610,81300,81400,80900,81000,17586995
20210611,81200,81700,80700,81000,14087962
20210614,80800,80900,80500,80500,10550078
20210615,80900,81200,80600,80900,10075685
20210616,81500,81900,81100,81800,14999855
20210617,81100,81300,80700,80900,14007385
20210618,81100,81100,80500,80500,14916721
20210621,79700,80000,79600,79900,16063340
20210622,80200,80300,79900,80000,11773365
20210623,80500,80600,79900,80100,13856548
20210624,80400,81400,80100,81200,18771080
20210625,81500,81900,81200,81600,13481405
20210628,81700,82000,81600,81900,11578529
20210629,81900,82100,80800,81000,15744317
20210630,81100,81400,80700,80700,13288643
20210701,80500,80600,80000,80100,13382882
20210702,80000,80400,79900,80000,8753097
20210705,80100,80800,80000,80400,8330969
20210706,80600,81200,80500,81200,12131651
20210707,81200,81300,80300,80800,15992202
20210708,81100,81200,79900,79900,16660998
20210709,79600,79800,79000,79400,22720577
20210712,79900,80000,79500,79700,9768108
20210713,80000,80200,79800,79800,9863450
20210714,79400,79600,79100,79500,11575636
20210715,79800,80600,79500,80600,13766279
20210716,80100,80100,79500,79800,10859399
20210719,79100,79200,78800,79000,13155414
20210720,78500,79000,78400,79000,12456646
20210721,79000,79100,78500,78500,12355296
20210722,79000,79800,78900,79700,12618790
20210723,79700,79900,79200,79300,9098910
20210726,79400,79500,78800,78800,10040975
20210727,79200,79400,78500,78500,11427693
20210728,78300,79200,78100,79200,12743417
20210729,78800,79400,78800,79000,14360453
20210730,78900,78900,78500,78500,13823411
20210802,79200,79500,78700,79300,11739124
20210803,79400,81400,79300,81400,24339360
20210804,82200,83100,81800,82900,25642368
20210805,83300,83300,82000,82100,18485469
20210806,81900,82500,81300,81500,13342623
20210809,81500,82300,80900,81500,15522581
20210810,82300,82400,80100,80200,20362639
20210811,79600,79800,78500,78500,30241137
20210812,77100,78200,76900,77000,42365223
20210813,75800,76000,74100,74400,61270643
20210817,74000,75100,74000,74200,30944847
20210818,73900,74600,73100,73900,29192631
20210819,73500,74400,73100,73100,22166298
20210820,73500,73900,72500,72700,22364803
20210823,73300,74000,73000,73300,19384648
20210824,73900,75700,73900,75600,21016913
20210825,76200,76600,74900,75700,22319664
20210826,76100,76200,74600,74600,16671494
20210827,74300,75000,73800,74300,15172748
20210830,75400,75500,74200,74600,12686999
20210831,74900,76700,74300,76700,24630370
20210901,76700,77100,75900,76800,16114775
20210902,76800,76800,75700,76000,15347486
20210903,76400,76700,76000,76600,12096419
20210906,76800,77600,76600,77300,12861180
20210907,77100,77100,75900,76100,13239401
20210908,76000,76400,75600,76300,11798147
20210909,76400,76600,75000,75300,17600770
20210910,75300,75600,74800,75300,10103212
20210913,75200,76300,75100,76300,11397775
20210914,77100,77700,76600,76600,18167057
20210915,77400,77400,76400,77000,12829128
20210916,77300,77400,76100,76100,13067622
20210917,76300,77200,75900,77200,16289502
20210923,77500,77600,76800,77400,17055590
20210924,77600,77700,77100,77300,12247274
20210927,77300,77700,77000,77700,11699798
20210928,77700,77800,76200,76300,15406382
20210929,74800,75300,73800,74100,23992458
20210930,74300,74800,73700,74100,19919361
20211001,73900,74000,72900,73200,15803395
20211005,73000,73000,71400,72200,24013921
20211006,72600,72800,71200,71300,18956962
20211007,71600,72100,71300,71600,13683532
20211008,72300,72400,71500,71500,14043287
20211012,70700,70900,68700,69000,31001484
20211013,68700,69600,68300,68800,24172015
20211014,69000,69800,68800,69400,19520641
20211015,70200,71000,70000,70100,18051612
20211018,70200,70300,69200,70200,13486391
20211019,70800,71000,70400,70600,9507991
20211020,70700,71000,70200,70300,10151638
20211021,70300,70600,70000,70200,10891094
20211022,70000,70700,70000,70400,8395448
20211025,69900,70600,69500,70200,10029621
20211026,70600,71500,70400,71100,10528252
20211027,71000,71000,70000,70100,10295316
20211028,69500,72200,69500,70700,20644902
20211029,71200,71600,69700,69800,17016151
20211101,70200,70600,69900,69900,11503729
20211102,70800,72200,70700,71500,16812570
20211103,71700,71700,70100,70400,12770428
20211104,71200,71600,70500,70600,11818987
20211105,71600,71600,70200,70200,12667743
20211108,70400,70600,69800,70600,11121981
20211109,70300,71000,70100,70500,11159589
20211110,70300,70900,70200,70200,9422009
20211111,69900,70000,69600,69900,11489122
20211112,70200,70900,69900,70600,10087450
20211115,71700,71900,70900,71400,12420710
20211116,71500,72000,71300,71300,10919239
20211117,71300,71600,70600,70700,11027606
20211118,70700,71000,70200,70200,10144957
20211119,70400,71400,70100,71200,11954728
20211122,73300,75200,73000,74900,27506623
20211123,76000,76000,74500,75300,22029195
20211124,76000,76200,74100,74800,15652305
20211125,75100,75100,73600,73700,12559258
20211126,73500,74100,72000,72300,13002242
20211129,71700,73000,71400,72300,16682559
20211130,73200,73900,70500,71300,30364841
20211201,72000,74800,71600,74400,21954856
20211202,73900,75800,73800,75800,23652940
20211203,75600,76000,74100,75600,18330240
20211206,75100,76700,74900,76300,16391250
20211207,76100,77700,75600,77400,19232453
20211208,78300,78600,77100,77400,21558340
20211209,77400,78200,77000,78200,21604528
20211210,77400,77600,76800,76900,9155219
20211213,77200,78300,76500,76800,15038750
20211214,76500,77200,76200,77000,10976660
20211215,76400,77600,76300,77600,9584939
20211216,78500,78500,77400,77800,11996128
20211217,76800,78000,76800,78000,13108479
20211220,77600,77800,76800,77100,11264375
20211221,77900,78300,77500,78100,14245298
20211222,78900,79400,78800,79400,17105892
20211223,79800,80000,79300,79900,13577498
20211224,80200,80800,80200,80500,12086380
20211227,80600,80600,79800,80200,10783368
20211228,80200,80400,79700,80300,18226325
20211229,80200,80200,78500,78800,19794795
20211230,78900,79500,78100,78300,14236700
20220103,79400,79800,78200,78600,13502112
20220104,78800,79200,78300,78700,12427416
20220105,78800,79000,76400,77400,25470640
20220106,76700,77600,76600,76900,12931954
20220107,78100,78400,77400,78300,15163757
20220110,78100,78100,77100,78000,9947422
20220111,78400,79000,78000,78900,13221123
20220112,79500,79600,78600,78900,11000502
20220113,79300,79300,77900,77900,13889401
20220114,77700,78100,77100,77300,10096725
20220117,77600,77800,76900,77500,8785122
20220118,77600,77800,76600,77000,9592788
20220119,76500,76900,76100,76300,10598290
20220120,76200,76700,75900,76500,9708168
20220121,75800,75800,74700,75600,15774888
20220124,75400,75800,74700,75100,13691134
20220125,74800,75000,73200,74000,17766704
20220126,73900,74400,73100,73300,12976730
20220127,73800,74000,71300,71300,22274777
20220128,71300,73700,71200,73300,21367447
20220203,74900,74900,73300,73300,17744721
20220204,74300,74600,73400,74000,12730034
